deviceinfo_deviceid,max,count,sum
3.59E+14,72,41229,9651594
3.58E+14,26,9657,9644189
3.58E+14,25,7132,9636511
3.58E+14,29,5409,9626318
3.58E+14,27,15150,9608634
3.56E+14,41,9827,9591623
3.56E+14,25,6455,9573421
R52H10L44JE,32,6691,9527964
3.58E+14,32,6689,9517820
3.60E+14,41,9457,9507202
3.58E+14,28,7405,9477844
3.58E+14,24,7362,9460844
3.59E+14,23,7492,9445416
3.58E+14,26,17151,9435468
3.58E+14,26,10206,9434212
3.58E+14,24,13514,9395286
3.58E+14,27,25185,9354683
3.58E+14,28,10854,9340527
3.58E+14,19,13451,9331643
3.56E+14,25,7197,9302807
3.56E+14,22,6847,9287856
3.58E+14,28,5864,9274474
3.58E+14,24,5400,9263278
9.90E+14,48,13418,9261238
3.58E+14,28,7238,9259784
3.58E+14,28,7900,9249177
3.58E+14,27,5406,9226856
3.58E+14,21,4411,9205263
3.59E+14,23,7442,9192294
R52H10L485R,34,3561,9179111
3.58E+14,29,5081,9165501
3.56E+14,38,13709,9125752
3.58E+14,24,5441,9122058
3.59E+14,23,8686,9055474
3.59E+14,24,8136,9025575
3.59E+14,24,9547,8978789
3.58E+14,24,14343,8922516
3.58E+14,28,5971,8900376
3.55E+14,36,2957,8865636
3.55E+14,36,4496,8849296
3.53E+14,31,45767,8843790
3.58E+14,21,6350,8825483
3.59E+14,29,8683,8787068
3.58E+14,26,7182,8785193
3.58E+14,26,7897,8771051
3.56E+14,21,5358,8735195
3.56E+14,26,6916,8687060
9.90E+14,34,25471,8672618
3.58E+14,27,13264,8659937
3.56E+14,25,1787,8645121
3.58E+14,29,6873,8626944
R52H10L45NW,35,6714,8606785
3.58E+14,25,5214,8605025
3.58E+14,28,8760,8598661
9.90E+14,53,26363,8596078
3.56E+14,29,7348,8555552
3.59E+14,24,8953,8551874
3.56E+14,30,6629,8547839
3.59E+14,29,8532,8520844
3.58E+14,22,10946,8496306
3.59E+14,31,4622,8469898
3.58E+14,27,3138,8440700
3.58E+14,26,7090,8440484
3.58E+14,27,11356,8431754
3.54E+14,54,6834,8426941
3.59E+14,31,8117,8392926
3.58E+14,27,9465,8381492
3.58E+14,27,2663,8360349
3.56E+14,25,4687,8348903
3.58E+14,23,10030,8344439
3.58E+14,26,6966,8344262
3.59E+14,27,5476,8341359
3.59E+14,28,9864,8272252
3.58E+14,25,9470,8231577
3.59E+14,47,75106,8176067
3.59E+14,24,8195,8173106
3.58E+14,23,5622,8163243
9.90E+14,56,21003,8161139
3.56E+14,28,4484,8154126
3.57E+14,49,8671,8099519
3.56E+14,29,5293,8076464
3.54E+14,53,11525,8062642
3.56E+14,26,5263,8036100
3.58E+14,24,7255,8022282
3.58E+14,26,7457,8020726
3.56E+14,24,7257,8001947
9.90E+14,33,7054,7965938
3.58E+14,23,5747,7906965
3.58E+14,28,12608,7903429
3.56E+14,24,4710,7873701
3.59E+14,27,5578,7833150
3.59E+14,24,6754,7830102
3.56E+14,22,8303,7785023
3.59E+14,23,9572,7765437
3.57E+14,49,22712,7753213
9.90E+14,52,14695,7705212
3.58E+14,40,15144,7697253
3.59E+14,26,8162,7671338
3.58E+14,27,5991,7663175
R52H1052R1D,32,6284,7651973
3.56E+14,23,8357,7649532
3.56E+14,37,21090,7633669
3.59E+14,24,10358,7618738
3.55E+14,36,2792,7612145
3.58E+14,27,3507,7574462
3.57E+14,48,35444,7559656
3.58E+14,51,11335,7544790
9.90E+14,29,16230,7542460
3.56E+14,26,3717,7541285
3.59E+14,24,7529,7540505
3.59E+14,29,7236,7501754
3.59E+14,28,7193,7497546
3.58E+14,28,4578,7486528
3.59E+14,25,6559,7482479
3.58E+14,26,19708,7470735
3.59E+14,25,6817,7458023
3.58E+14,26,5575,7407559
3.58E+14,21,2773,7375782
3.58E+14,23,5166,7370864
3.58E+14,28,4110,7349293
3.59E+14,32,8353,7323070
9.90E+14,31,4181,7314908
3.56E+14,24,6156,7280143
3.58E+14,22,9123,7262034
3.59E+14,23,8609,7250084
3.59E+14,22,6895,7231651
3.58E+14,30,11996,7226790
3.58E+14,24,9135,7210702
3.59E+14,23,7195,7203925
3.56E+14,28,6394,7177820
3.58E+14,26,10097,7161049
3.58E+14,26,3931,7152776
3.59E+14,24,6651,7151272
3.58E+14,23,2651,7112587
3.56E+14,24,1516,7097573
3.58E+14,57,33545,7087569
3.58E+14,43,10514,7082211
R52H1052T3K,34,5760,7051661
R52GC0Y0EHY,34,2782,6971651
3.58E+14,26,12073,6945275
3.58E+14,26,11674,6934190
3.57E+14,48,26734,6888858
3.54E+14,29,3163,6876000
3.54E+14,56,44431,6872681
3.58E+14,29,3880,6867704
3.56E+14,27,4404,6859037
3.59E+14,24,6242,6841685
3.59E+14,27,7637,6828197
3.59E+14,22,6197,6814038
3.56E+14,30,4177,6811060
3.58E+14,25,9323,6771662
3.58E+14,27,8773,6737596
3.56E+14,30,5036,6722702
3.59E+14,24,5909,6721264
3.56E+14,25,12906,6670609
3.58E+14,23,6553,6662748
3.56E+14,23,17588,6626439
3.58E+14,26,8432,6594500
3.56E+14,21,7068,6571459
3.58E+14,27,8169,6520094
